Row ID,Order ID,Order Date,Ship Date,Ship Mode,Order Priority,Customer ID,Customer Name,Customer Tenure Group,Customer Age Group,Segment,Country,City,State,Postal Code,Region,Sales Channel,Payment Method,Returned,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2025-100000,2025-05-10,2025-05-19,Second Class,Critical,CUST-6141,Zain Siddiqui,New,26-35,Home Office,United States,Seattle,Washington,98101.0,West,Online,Credit Card,No,TEC-PR-3005,Technology,Printers,Inkjet Printer,1199.07,8,0.15,-91.87
2,CA-2025-100001,2025-11-10,2025-11-15,Standard Class,Medium,CUST-9501,Ayesha Ahmed,3-5 Years,26-35,Consumer,United States,Detroit,Michigan,48201.0,Central,Online,PayPal,No,TEC-PH-3001,Technology,Phones,Smart Office Phone,572.25,4,0.2,75.54
3,CA-2023-100002,2023-05-02,2023-05-09,Second Class,Medium,CUST-3708,Ahmed Butt,1-2 Years,26-35,Home Office,United States,Detroit,Michigan,48201.0,Central,Retail Store,Credit Card,No,TEC-PR-3005,Technology,Printers,Inkjet Printer,3099.41,7,0.05,647.97
4,CA-2024-100003,2024-04-11,2024-04-15,Second Class,Medium,CUST-2991,Noor Iqbal,New,18-25,Home Office,United States,Minneapolis,Minnesota,55401.0,Central,Retail Store,Credit Card,No,TEC-AC-3002,Technology,Accessories,Wireless Mouse,221.01,3,0.0,27.09
5,CA-2023-100004,2023-11-27,2023-12-01,Standard Class,Low,CUST-9463,Faraha Khan,New,26-35,Corporate,United States,Nashville,Tennessee,37201.0,South,Partner Reseller,Bank Transfer,No,FUR-TA-1002,Furniture,Tables,Executive Conference Table,1389.85,5,0.1,31.46
6,CA-2023-100005,2023-03-29,2023-04-02,First Class,High,CUST-4273,Faraha Attari,New,36-45,Corporate,United States,Richmond,Virginia,23219.0,South,Corporate Portal,Credit Card,No,TEC-PR-3005,Technology,Printers,Inkjet Printer,114.6,4,0.0,27.8
7,CA-2025-100006,2025-05-21,2025-05-26,First Class,Medium,CUST-5538,Hassaan Hassan,1-2 Years,36-45,Home Office,United States,Newark,New Jersey,7102.0,East,Online,Credit Card,Yes,OFF-LA-2005,Office Supplies,Labels,Address Labels,15.02,2,0.0,-0.35
8,CA-2023-100007,2023-05-11,2023-05-13,Same Day,Medium,CUST-9712,Faraha Khan,New,36-45,Corporate,United States,Miami,Florida,33101.0,South,Online,Bank Transfer,No,TEC-PR-3005,Technology,Printers,Inkjet Printer,746.8,3,0.05,32.85
9,CA-2025-100008,2025-02-08,2025-02-09,Second Class,High,CUST-4722,Zain Siddiqui,1-2 Years,36-45,Home Office,United States,Seattle,Washington,98101.0,West,Online,Credit Card,No,TEC-PR-3005,Technology,Printers,Inkjet Printer,641.37,4,0.1,159.24
10,CA-2023-100009,2023-12-10,2023-12-13,Standard Class,Critical,CUST-4551,Mariam Nawaz,1-2 Years,26-35,Consumer,United States,Seattle,Washington,98101.0,West,Retail Store,Credit Card,No,TEC-PH-3001,Technology,Phones,Smart Office Phone,720.04,2,0.0,235.1
11,CA-2025-100010,2025-03-16,2025-03-21,First Class,Medium,CUST-3832,Danish Rauf,1-2 Years,26-35,Consumer,United States,Portland,Oregon,97201.0,West,Retail Store,Cash on Delivery,Yes,OFF-BI-2002,Office Supplies,Binders,Heavy Duty Binder,58.87,2,0.1,-7.82
12,CA-2024-100011,2024-01-21,2024-01-23,First Class,Low,CUST-6679,Abdullah Hassan,3-5 Years,26-35,Consumer,United States,Nashville,Tennessee,37201.0,South,Partner Reseller,Credit Card,Yes,FUR-FU-1004,Furniture,Furnishings,Desk Lamp,137.59,6,0.0,-34.79
13,CA-2025-100012,2025-08-13,2025-08-18,Same Day,High,CUST-7579,Faraha Khan,New,36-45,Corporate,United States,Los Angeles,California,90001.0,West,Retail Store,PayPal,No,OFF-ST-2003,Office Supplies,Storage,Plastic Storage Box,712.82,8,0.0,136.64
14,CA-2023-100013,2023-10-04,2023-10-13,Second Class,Medium,CUST-1152,Abdullah Hassan,New,18-25,Home Office,United States,Detroit,Michigan,48201.0,Central,Corporate Portal,Credit Card,No,TEC-PR-3005,Technology,Printers,Inkjet Printer,587.61,3,0.15,42.99
