Row ID,Order ID,Order Date,Ship Date,Ship Mode,Order Priority,Customer ID,Customer Name,Customer Tenure Group,Customer Age Group,Segment,Country,City,State,Postal Code,Region,Sales Channel,Payment Method,Returned,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Delivery Days,Order Year,Order Month,Month Name,Year-Month,Quarter,Profit Margin %,Revenue Per Unit,Order Value Segment,Profit Status,Sales Capped,Profit Capped
1,CA-2025-100000,2025-05-10,2025-05-19,Second Class,Critical,CUST-6141,Zain Siddiqui,New,26-35,Home Office,United States,Seattle,Washington,98101.0,West,Online,Credit Card,No,TEC-PR-3005,Technology,Printers,Inkjet Printer,1199.07,8,0.15,-91.87,9,2025,5,May,2025-05,2025Q2,-7.661771206017997,149.88375,High,Loss-Making,1199.07,-91.87
2,CA-2025-100001,2025-11-10,2025-11-15,Standard Class,Medium,CUST-9501,Ayesha Ahmed,3-5 Years,26-35,Consumer,United States,Detroit,Michigan,48201.0,Central,Online,PayPal,No,TEC-PH-3001,Technology,Phones,Smart Office Phone,572.25,4,0.2,75.54,5,2025,11,Nov,2025-11,2025Q4,13.200524246395807,143.0625,Medium,Profitable,572.25,75.54
3,CA-2023-100002,2023-05-02,2023-05-09,Second Class,Medium,CUST-3708,Ahmed Butt,1-2 Years,26-35,Home Office,United States,Detroit,Michigan,48201.0,Central,Retail Store,Credit Card,No,TEC-PR-3005,Technology,Printers,Inkjet Printer,3099.41,7,0.05,647.97,7,2023,5,May,2023-05,2023Q2,20.90623699349231,442.7728571428571,Premium,Profitable,3099.41,647.97
4,CA-2024-100003,2024-04-11,2024-04-15,Second Class,Medium,CUST-2991,Noor Iqbal,New,18-25,Home Office,United States,Minneapolis,Minnesota,55401.0,Central,Retail Store,Credit Card,No,TEC-AC-3002,Technology,Accessories,Wireless Mouse,221.01,3,0.0,27.09,4,2024,4,Apr,2024-04,2024Q2,12.257363920184607,73.67,Low,Profitable,221.01,27.09
5,CA-2023-100004,2023-11-27,2023-12-01,Standard Class,Low,CUST-9463,Faraha Khan,New,26-35,Corporate,United States,Nashville,Tennessee,37201.0,South,Partner Reseller,Bank Transfer,No,FUR-TA-1002,Furniture,Tables,Executive Conference Table,1389.85,5,0.1,31.46,4,2023,11,Nov,2023-11,2023Q4,2.263553620894341,277.96999999999997,High,Profitable,1389.85,31.46
6,CA-2023-100005,2023-03-29,2023-04-02,First Class,High,CUST-4273,Faraha Attari,New,36-45,Corporate,United States,Richmond,Virginia,23219.0,South,Corporate Portal,Credit Card,No,TEC-PR-3005,Technology,Printers,Inkjet Printer,114.6,4,0.0,27.8,4,2023,3,Mar,2023-03,2023Q1,24.25828970331588,28.65,Low,Profitable,114.6,27.8
7,CA-2025-100006,2025-05-21,2025-05-26,First Class,Medium,CUST-5538,Hassaan Hassan,1-2 Years,36-45,Home Office,United States,Newark,New Jersey,7102.0,East,Online,Credit Card,Yes,OFF-LA-2005,Office Supplies,Labels,Address Labels,15.02,2,0.0,-0.35,5,2025,5,May,2025-05,2025Q2,-2.3302263648468706,7.51,Very Low,Loss-Making,15.02,-0.35
8,CA-2023-100007,2023-05-11,2023-05-13,Same Day,Medium,CUST-9712,Faraha Khan,New,36-45,Corporate,United States,Miami,Florida,33101.0,South,Online,Bank Transfer,No,TEC-PR-3005,Technology,Printers,Inkjet Printer,746.8,3,0.05,32.85,2,2023,5,May,2023-05,2023Q2,4.398768077129085,248.9333333333333,High,Profitable,746.8,32.85
9,CA-2025-100008,2025-02-08,2025-02-09,Second Class,High,CUST-4722,Zain Siddiqui,1-2 Years,36-45,Home Office,United States,Seattle,Washington,98101.0,West,Online,Credit Card,No,TEC-PR-3005,Technology,Printers,Inkjet Printer,641.37,4,0.1,159.24,1,2025,2,Feb,2025-02,2025Q1,24.828102343421115,160.3425,Medium,Profitable,641.37,159.24
10,CA-2023-100009,2023-12-10,2023-12-13,Standard Class,Critical,CUST-4551,Mariam Nawaz,1-2 Years,26-35,Consumer,United States,Seattle,Washington,98101.0,West,Retail Store,Credit Card,No,TEC-PH-3001,Technology,Phones,Smart Office Phone,720.04,2,0.0,235.1,3,2023,12,Dec,2023-12,2023Q4,32.65096383534248,360.02,High,Profitable,720.04,235.1
11,CA-2025-100010,2025-03-16,2025-03-21,First Class,Medium,CUST-3832,Danish Rauf,1-2 Years,26-35,Consumer,United States,Portland,Oregon,97201.0,West,Retail Store,Cash on Delivery,Yes,OFF-BI-2002,Office Supplies,Binders,Heavy Duty Binder,58.87,2,0.1,-7.82,5,2025,3,Mar,2025-03,2025Q1,-13.283506030236115,29.435,Very Low,Loss-Making,58.87,-7.82
12,CA-2024-100011,2024-01-21,2024-01-23,First Class,Low,CUST-6679,Abdullah Hassan,3-5 Years,26-35,Consumer,United States,Nashville,Tennessee,37201.0,South,Partner Reseller,Credit Card,Yes,FUR-FU-1004,Furniture,Furnishings,Desk Lamp,137.59,6,0.0,-34.79,2,2024,1,Jan,2024-01,2024Q1,-25.28526782469656,22.93166666666667,Low,Loss-Making,137.59,-34.79
13,CA-2025-100012,2025-08-13,2025-08-18,Same Day,High,CUST-7579,Faraha Khan,New,36-45,Corporate,United States,Los Angeles,California,90001.0,West,Retail Store,PayPal,No,OFF-ST-2003,Office Supplies,Storage,Plastic Storage Box,712.82,8,0.0,136.64,5,2025,8,Aug,2025-08,2025Q3,19.16893465390982,89.1025,High,Profitable,712.82,136.64
14,CA-2023-100013,2023-10-04,2023-10-13,Second Class,Medium,CUST-1152,Abdullah Hassan,New,18-25,Home Office,United States,Detroit,Michigan,48201.0,Central,Corporate Portal,Credit Card,No,TEC-PR-3005,Technology,Printers,Inkjet Printer,587.61,3,0.15,42.99,9,2023,10,Oct,2023-10,2023Q4,7.316076989840201,195.87,Medium,Profitable,587.61,42.99
15,CA-2024-100014,2024-04-04,2024-04-05,Same Day,Critical,CUST-6754,Hina Khan,New,60+,Corporate,United States,St. Louis,Missouri,63101.0,Central,Retail Store,Bank Transfer,No,TEC-PR-3005,Technology,Printers,Unknown,657.75,2,0.0,153.15,1,2024,4,Apr,2024-04,2024Q2,23.28392246294185,328.875,Medium,Profitable,657.75,153.15
16,CA-2023-100015,2023-01-22,2023-01-27,Second Class,Critical,CUST-3800,Faraha Butt,New,36-45,Corporate,United States,Newark,New Jersey,7102.0,East,Corporate Portal,Credit Card,No,FUR-CH-1001,Furniture,Chairs,Ergonomic Office Chair,395.39,2,0.15,76.38,5,2023,1,Jan,2023-01,2023Q1,19.317635752042285,197.695,Medium,Profitable,395.39,76.38
17,CA-2023-100016,2023-09-10,2023-09-14,First Class,Low,CUST-6310,Ammar Chaudhry,New,26-35,Home Office,United States,Boston,Massachusetts,2108.0,East,Retail Store,Credit Card,No,FUR-TA-1002,Furniture,Tables,Executive Conference Table,2483.71,5,0.0,-108.55,4,2023,9,Sep,2023-09,2023Q3,-4.370478034875247,496.742,Premium,Loss-Making,2483.71,-108.55
18,CA-2025-100017,2025-01-17,2025-01-24,Same Day,Critical,CUST-3610,Ahmed Butt,3-5 Years,36-45,Home Office,United States,Philadelphia,Pennsylvania,19104.0,East,Retail Store,Credit Card,No,OFF-LA-2005,Office Supplies,Labels,Address Labels,20.58,2,0.05,0.93,7,2025,1,Jan,2025-01,2025Q1,4.518950437317785,10.29,Very Low,Profitable,20.58,0.93
19,CA-2025-100018,2025-05-06,2025-05-08,Standard Class,Medium,CUST-2104,Hassaan Attari,New,18-25,Consumer,United States,Philadelphia,Pennsylvania,19104.0,East,Retail Store,Bank Transfer,No,FUR-TA-1002,Furniture,Tables,Executive Conference Table,5500.0,11,0.0,354.43,2,2025,5,May,2025-05,2025Q2,6.444181818181819,500.0,Premium,Profitable,5500.0,354.43
20,CA-2024-100019,2024-04-19,2024-04-24,Standard Class,Medium,CUST-8361,Mariam Qureshi,5+ Years,26-35,Consumer,United States,New York City,New York,10001.0,East,Retail Store,Bank Transfer,No,OFF-AR-2004,Office Supplies,Art,Marker Set,9.42,2,0.0,2.2,5,2024,4,Apr,2024-04,2024Q2,23.354564755838645,4.71,Very Low,Profitable,9.42,2.2
21,CA-2024-100020,2024-05-25,2024-06-01,First Class,Low,CUST-5199,Noor Butt,New,26-35,Home Office,United States,Detroit,Michigan,48201.0,Central,Online,Credit Card,No,TEC-CO-3003,Technology,Copiers,Laser Copier,491.33,3,0.1,212.48,7,2024,5,May,2024-05,2024Q2,43.24588362200558,163.77666666666667,Medium,Profitable,491.33,212.48
22,CA-2024-100021,2024-11-30,2024-12-08,First Class,High,CUST-4854,Fatima Malik,3-5 Years,26-35,Corporate,United States,Charlotte,North Carolina,28201.0,South,Online,Cash on Delivery,No,TEC-PR-3005,Technology,Printers,Inkjet Printer,297.18,4,0.3,24.89,8,2024,11,Nov,2024-11,2024Q4,8.3753953832694,74.295,Low,Profitable,297.18,24.89
23,CA-2025-100022,2025-09-02,2025-09-07,First Class,Medium,CUST-8263,Noor Attari,3-5 Years,46-60,Consumer,United States,San Francisco,California,94102.0,West,Online,Credit Card,No,TEC-CO-3003,Technology,Copiers,Laser Copier,5500.0,7,0.0,326.82,5,2025,9,Sep,2025-09,2025Q3,5.942181818181818,785.7142857142857,Premium,Profitable,5500.0,326.82
24,CA-2023-100023,2023-07-09,2023-07-13,Same Day,Medium,CUST-2914,Hassaan Hassan,1-2 Years,46-60,Home Office,United States,Los Angeles,California,90001.0,West,Online,Bank Transfer,No,OFF-ST-2003,Office Supplies,Storage,Plastic Storage Box,249.44,3,0.05,20.29,4,2023,7,Jul,2023-07,2023Q3,8.134220654265555,83.14666666666666,Low,Profitable,249.44,20.29
25,CA-2025-100024,2025-08-15,2025-08-20,Second Class,High,CUST-8365,Mariam Nawaz,1-2 Years,26-35,Consumer,United States,Charlotte,North Carolina,28201.0,South,Retail Store,Credit Card,No,TEC-CO-3003,Technology,Copiers,Laser Copier,4133.94,3,0.15,268.75,5,2025,8,Aug,2025-08,2025Q3,6.5010619409086745,1377.9799999999998,Premium,Profitable,4133.94,268.75
26,CA-2024-100025,2024-11-17,2024-11-24,Same Day,Medium,CUST-4072,Ayesha Khan,1-2 Years,26-35,Corporate,United States,New York City,New York,10001.0,East,Online,Bank Transfer,No,TEC-AC-3002,Technology,Accessories,Wireless Mouse,382.11,11,0.1,78.61,7,2024,11,Nov,2024-11,2024Q4,20.572609981418964,34.73727272727273,Medium,Profitable,382.11,78.61
27,CA-2025-100026,2025-08-15,2025-08-19,First Class,Medium,CUST-1406,Ayesha Rauf,3-5 Years,18-25,Corporate,United States,Los Angeles,California,90001.0,West,Online,PayPal,No,TEC-CO-3003,Technology,Copiers,Laser Copier,905.51,1,0.2,123.29,4,2025,8,Aug,2025-08,2025Q3,13.615531578889245,905.51,High,Profitable,905.51,123.29
28,CA-2024-100027,2024-07-16,2024-07-17,First Class,High,CUST-1166,Noor Iqbal,1-2 Years,46-60,Home Office,United States,Richmond,Virginia,23219.0,South,Online,Bank Transfer,No,TEC-AC-3002,Technology,Accessories,Wireless Mouse,499.63,8,0.0,53.29,1,2024,7,Jul,2024-07,2024Q3,10.665892760642876,62.45375,Medium,Profitable,499.63,53.29
29,CA-2025-100028,2025-04-11,2025-04-19,Same Day,High,CUST-1508,Hassaan Rana,New,26-35,Corporate,United States,Boston,Massachusetts,2108.0,East,Retail Store,Credit Card,No,FUR-CH-1001,Furniture,Chairs,Ergonomic Office Chair,152.82,1,0.3,-17.22,8,2025,4,Apr,2025-04,2025Q2,-11.268158617981939,152.82,Low,Loss-Making,152.82,-17.22
30,CA-2024-100029,2024-10-08,2024-10-13,Second Class,Critical,CUST-2661,Noor Iqbal,1-2 Years,26-35,Home Office,United States,San Francisco,California,94102.0,West,Online,Credit Card,No,OFF-ST-2003,Office Supplies,Storage,Plastic Storage Box,217.27,6,0.05,17.42,5,2024,10,Oct,2024-10,2024Q4,8.017673862015005,36.211666666666666,Low,Profitable,217.27,17.42
31,CA-2023-100030,2023-01-21,2023-01-26,Same Day,Critical,CUST-4664,Abdullah Rauf,New,26-35,Consumer,United States,Phoenix,Arizona,85001.0,West,Online,PayPal,No,OFF-ST-2003,Office Supplies,Storage,Plastic Storage Box,122.59,5,0.05,11.01,5,2023,1,Jan,2023-01,2023Q1,8.981156701199119,24.518,Low,Profitable,122.59,11.01
32,CA-2025-100031,2025-04-20,2025-04-22,Standard Class,Medium,CUST-4489,Iqra Khan,5+ Years,26-35,Consumer,United States,St. Louis,Missouri,63101.0,Central,Online,Credit Card,No,OFF-BI-2002,Office Supplies,Binders,Heavy Duty Binder,86.05,3,0.25,1.86,2,2025,4,Apr,2025-04,2025Q2,2.161533991865195,28.683333333333334,Very Low,Profitable,86.05,1.86
33,CA-2023-100032,2023-06-16,2023-06-21,First Class,Medium,CUST-1680,Hamza Hassan,3-5 Years,36-45,Home Office,United States,Seattle,Washington,98101.0,West,Online,Credit Card,No,FUR-BO-1003,Furniture,Bookcases,Wooden Bookcase,2929.17,8,0.1,122.76,5,2023,6,Jun,2023-06,2023Q2,4.190948289105788,366.14625,Premium,Profitable,2929.17,122.76
